max_depth	minbucket	min_split	cp	ganancia_promedio
6	335	860	-0.1	10270000
6	335	870	-0.03	10270000
6	335	870	-0.07	10270000
6	335	870	-0.1	10270000
6	340	800	-0.03	10047333
6	340	800	-0.07	10047333
6	340	800	-0.1	10047333
6	340	810	-0.03	10047333
6	340	810	-0.07	10047333
6	340	810	-0.1	10047333
6	340	820	-0.03	10047333
6	340	820	-0.07	10047333
6	340	820	-0.1	10047333
6	340	830	-0.03	10047333
6	340	830	-0.07	10047333
6	340	830	-0.1	10047333
6	340	840	-0.03	10144667
6	340	840	-0.07	10144667
6	340	840	-0.1	10144667
6	340	850	-0.03	10144667
6	340	850	-0.07	10144667
6	340	850	-0.1	10144667
6	340	860	-0.03	10144667
6	340	860	-0.07	10144667
6	340	860	-0.1	10144667
6	340	870	-0.03	10144667
6	340	870	-0.07	10144667
6	340	870	-0.1	10144667
6	345	800	-0.03	10047333
6	345	800	-0.07	10047333
6	345	800	-0.1	10047333
6	345	810	-0.03	10047333
6	345	810	-0.07	10047333
6	345	810	-0.1	10047333
6	345	820	-0.03	10047333
6	345	820	-0.07	10047333
6	345	820	-0.1	10047333
6	345	830	-0.03	10047333
6	345	830	-0.07	10047333
6	345	830	-0.1	10047333
6	345	840	-0.03	10144667
6	345	840	-0.07	10144667
6	345	840	-0.1	10144667
6	345	850	-0.03	10144667
6	345	850	-0.07	10144667
6	345	850	-0.1	10144667
6	345	860	-0.03	10144667
6	345	860	-0.07	10144667
6	345	860	-0.1	10144667
6	345	870	-0.03	10144667
6	345	870	-0.07	10144667
6	345	870	-0.1	10144667
6	350	800	-0.03	10047333
6	350	800	-0.07	10047333
6	350	800	-0.1	10047333
6	350	810	-0.03	10047333
6	350	810	-0.07	10047333
6	350	810	-0.1	10047333
6	350	820	-0.03	10047333
6	350	820	-0.07	10047333
6	350	820	-0.1	10047333
6	350	830	-0.03	10047333
6	350	830	-0.07	10047333
6	350	830	-0.1	10047333
6	350	840	-0.03	10144667
6	350	840	-0.07	10144667
6	350	840	-0.1	10144667
6	350	850	-0.03	10144667
6	350	850	-0.07	10144667
6	350	850	-0.1	10144667
6	350	860	-0.03	10144667
6	350	860	-0.07	10144667
6	350	860	-0.1	10144667
6	350	870	-0.03	10144667
6	350	870	-0.07	10144667
6	350	870	-0.1	10144667
7	320	800	-0.03	9293333
7	320	800	-0.07	9293333
7	320	800	-0.1	9293333
7	320	810	-0.03	9293333
7	320	810	-0.07	9293333
7	320	810	-0.1	9293333
7	320	820	-0.03	9293333
7	320	820	-0.07	9293333
7	320	820	-0.1	9293333
7	320	830	-0.03	9293333
7	320	830	-0.07	9293333
7	320	830	-0.1	9293333
7	320	840	-0.03	9290667
7	320	840	-0.07	9290667
7	320	840	-0.1	9290667
7	320	850	-0.03	9290667
7	320	850	-0.07	9290667
7	320	850	-0.1	9290667
7	320	860	-0.03	9290667
7	320	860	-0.07	9290667
7	320	860	-0.1	9290667
7	320	870	-0.03	9290667
7	320	870	-0.07	9290667
7	320	870	-0.1	9290667
7	325	800	-0.03	9286000
7	325	800	-0.07	9286000
7	325	800	-0.1	9286000
7	325	810	-0.03	9286000
7	325	810	-0.07	9286000
7	325	810	-0.1	9286000
7	325	820	-0.03	9286000
7	325	820	-0.07	9286000
7	325	820	-0.1	9286000
7	325	830	-0.03	9286000
7	325	830	-0.07	9286000
7	325	830	-0.1	9286000
7	325	840	-0.03	9283333
7	325	840	-0.07	9283333
7	325	840	-0.1	9283333
7	325	850	-0.03	9283333
7	325	850	-0.07	9283333
7	325	850	-0.1	9283333
7	325	860	-0.03	9283333
7	325	860	-0.07	9283333
7	325	860	-0.1	9283333
7	325	870	-0.03	9283333
7	325	870	-0.07	9283333
7	325	870	-0.1	9283333
7	330	800	-0.03	9286000
7	330	800	-0.07	9286000
7	330	800	-0.1	9286000
7	330	810	-0.03	9286000
7	330	810	-0.07	9286000
7	330	810	-0.1	9286000
7	330	820	-0.03	9286000
7	330	820	-0.07	9286000
7	330	820	-0.1	9286000
7	330	830	-0.03	9286000
7	330	830	-0.07	9286000
7	330	830	-0.1	9286000
7	330	840	-0.03	9283333
7	330	840	-0.07	9283333
7	330	840	-0.1	9283333
7	330	850	-0.03	9283333
7	330	850	-0.07	9283333
7	330	850	-0.1	9283333
7	330	860	-0.03	9283333
7	330	860	-0.07	9283333
7	330	860	-0.1	9283333
7	330	870	-0.03	9283333
7	330	870	-0.07	9283333
7	330	870	-0.1	9283333
7	335	800	-0.03	9443333
7	335	800	-0.07	9443333
7	335	800	-0.1	9443333
7	335	810	-0.03	9443333
7	335	810	-0.07	9443333
7	335	810	-0.1	9443333
7	335	820	-0.03	9443333
7	335	820	-0.07	9443333
7	335	820	-0.1	9443333
7	335	830	-0.03	9443333
7	335	830	-0.07	9443333
7	335	830	-0.1	9443333
7	335	840	-0.03	9440667
7	335	840	-0.07	9440667
7	335	840	-0.1	9440667
7	335	850	-0.03	9440667
7	335	850	-0.07	9440667
7	335	850	-0.1	9440667
7	335	860	-0.03	9440667
7	335	860	-0.07	9440667
7	335	860	-0.1	9440667
7	335	870	-0.03	9440667
7	335	870	-0.07	9440667
7	335	870	-0.1	9440667
7	340	800	-0.03	9316667
7	340	800	-0.07	9316667
7	340	800	-0.1	9316667
7	340	810	-0.03	9316667
7	340	810	-0.07	9316667
7	340	810	-0.1	9316667
7	340	820	-0.03	9316667
7	340	820	-0.07	9316667
7	340	820	-0.1	9316667
7	340	830	-0.03	9316667
7	340	830	-0.07	9316667
7	340	830	-0.1	9316667
7	340	840	-0.03	9314000
7	340	840	-0.07	9314000
7	340	840	-0.1	9314000
7	340	850	-0.03	9314000
7	340	850	-0.07	9314000
7	340	850	-0.1	9314000
7	340	860	-0.03	9314000
7	340	860	-0.07	9314000
7	340	860	-0.1	9314000
7	340	870	-0.03	9314000
7	340	870	-0.07	9314000
7	340	870	-0.1	9314000
7	345	800	-0.03	9316667
7	345	800	-0.07	9316667
7	345	800	-0.1	9316667
7	345	810	-0.03	9316667
7	345	810	-0.07	9316667
7	345	810	-0.1	9316667
7	345	820	-0.03	9316667
7	345	820	-0.07	9316667
7	345	820	-0.1	9316667
7	345	830	-0.03	9316667
7	345	830	-0.07	9316667
7	345	830	-0.1	9316667
7	345	840	-0.03	9314000
7	345	840	-0.07	9314000
7	345	840	-0.1	9314000
7	345	850	-0.03	9314000
7	345	850	-0.07	9314000
7	345	850	-0.1	9314000
7	345	860	-0.03	9314000
7	345	860	-0.07	9314000
7	345	860	-0.1	9314000
7	345	870	-0.03	9314000
7	345	870	-0.07	9314000
7	345	870	-0.1	9314000
7	350	800	-0.03	9316667
7	350	800	-0.07	9316667
7	350	800	-0.1	9316667
7	350	810	-0.03	9316667
7	350	810	-0.07	9316667
7	350	810	-0.1	9316667
7	350	820	-0.03	9316667
7	350	820	-0.07	9316667
7	350	820	-0.1	9316667
7	350	830	-0.03	9316667
7	350	830	-0.07	9316667
7	350	830	-0.1	9316667
7	350	840	-0.03	9314000
7	350	840	-0.07	9314000
7	350	840	-0.1	9314000
7	350	850	-0.03	9314000
7	350	850	-0.07	9314000
7	350	850	-0.1	9314000
7	350	860	-0.03	9314000
7	350	860	-0.07	9314000
7	350	860	-0.1	9314000
7	350	870	-0.03	9314000
7	350	870	-0.07	9314000
7	350	870	-0.1	9314000
