max_depth	minbucket	min_split	cp	ganancia_promedio
5	335	800	-0.07	4601333
5	335	800	-0.1	4601333
5	335	810	-0.03	4601333
5	335	810	-0.07	4601333
5	335	810	-0.1	4601333
5	335	820	-0.03	4601333
5	335	820	-0.07	4601333
5	335	820	-0.1	4601333
5	335	830	-0.03	4601333
5	335	830	-0.07	4601333
5	335	830	-0.1	4601333
5	335	840	-0.03	4601333
5	335	840	-0.07	4601333
5	335	840	-0.1	4601333
5	335	850	-0.03	4601333
5	335	850	-0.07	4601333
5	335	850	-0.1	4601333
5	335	860	-0.03	4601333
5	335	860	-0.07	4601333
5	335	860	-0.1	4601333
5	335	870	-0.03	4601333
5	335	870	-0.07	4601333
5	335	870	-0.1	4601333
5	340	800	-0.03	4603333
5	340	800	-0.07	4603333
5	340	800	-0.1	4603333
5	340	810	-0.03	4603333
5	340	810	-0.07	4603333
5	340	810	-0.1	4603333
5	340	820	-0.03	4603333
5	340	820	-0.07	4603333
5	340	820	-0.1	4603333
5	340	830	-0.03	4603333
5	340	830	-0.07	4603333
5	340	830	-0.1	4603333
5	340	840	-0.03	4603333
5	340	840	-0.07	4603333
5	340	840	-0.1	4603333
5	340	850	-0.03	4603333
5	340	850	-0.07	4603333
5	340	850	-0.1	4603333
5	340	860	-0.03	4603333
5	340	860	-0.07	4603333
5	340	860	-0.1	4603333
5	340	870	-0.03	4603333
5	340	870	-0.07	4603333
5	340	870	-0.1	4603333
5	345	800	-0.03	4585333
5	345	800	-0.07	4585333
5	345	800	-0.1	4585333
5	345	810	-0.03	4585333
5	345	810	-0.07	4585333
5	345	810	-0.1	4585333
5	345	820	-0.03	4585333
5	345	820	-0.07	4585333
5	345	820	-0.1	4585333
5	345	830	-0.03	4585333
5	345	830	-0.07	4585333
5	345	830	-0.1	4585333
5	345	840	-0.03	4585333
5	345	840	-0.07	4585333
5	345	840	-0.1	4585333
5	345	850	-0.03	4585333
5	345	850	-0.07	4585333
5	345	850	-0.1	4585333
5	345	860	-0.03	4585333
5	345	860	-0.07	4585333
5	345	860	-0.1	4585333
5	345	870	-0.03	4585333
5	345	870	-0.07	4585333
5	345	870	-0.1	4585333
5	350	800	-0.03	4612000
5	350	800	-0.07	4612000
5	350	800	-0.1	4612000
5	350	810	-0.03	4612000
5	350	810	-0.07	4612000
5	350	810	-0.1	4612000
5	350	820	-0.03	4612000
5	350	820	-0.07	4612000
5	350	820	-0.1	4612000
5	350	830	-0.03	4612000
5	350	830	-0.07	4612000
5	350	830	-0.1	4612000
5	350	840	-0.03	4612000
5	350	840	-0.07	4612000
5	350	840	-0.1	4612000
5	350	850	-0.03	4612000
5	350	850	-0.07	4612000
5	350	850	-0.1	4612000
5	350	860	-0.03	4612000
5	350	860	-0.07	4612000
5	350	860	-0.1	4612000
5	350	870	-0.03	4612000
5	350	870	-0.07	4612000
5	350	870	-0.1	4612000
6	320	800	-0.03	4856667
6	320	800	-0.07	4856667
6	320	800	-0.1	4856667
6	320	810	-0.03	4856667
6	320	810	-0.07	4856667
6	320	810	-0.1	4856667
6	320	820	-0.03	4929333
6	320	820	-0.07	4929333
6	320	820	-0.1	4929333
6	320	830	-0.03	4929333
6	320	830	-0.07	4929333
6	320	830	-0.1	4929333
6	320	840	-0.03	4817333
6	320	840	-0.07	4817333
6	320	840	-0.1	4817333
6	320	850	-0.03	4817333
6	320	850	-0.07	4817333
6	320	850	-0.1	4817333
6	320	860	-0.03	4817333
6	320	860	-0.07	4817333
6	320	860	-0.1	4817333
6	320	870	-0.03	4817333
6	320	870	-0.07	4817333
6	320	870	-0.1	4817333
6	325	800	-0.03	4829333
6	325	800	-0.07	4829333
