max_depth	min_bucket	min_split	peso_error	cp	ganancia_promedio
4	380	1000	100	-0.1	10870000
4	380	1000	200	-0.1	9916000
4	380	1000	244	-0.1	10328000
4	380	1000	270	-0.1	10328000
4	380	1000	300	-0.1	10341333
4	380	1000	350	-0.1	10988000
4	380	1000	400	-0.1	10428667
4	380	1000	450	-0.1	10140000
4	380	800	1	-0.1	10713333
4	380	800	10	-0.1	11155333
4	380	800	100	-0.1	10870000
4	380	800	200	-0.1	9916000
4	380	800	244	-0.1	10328000
4	380	800	270	-0.1	10328000
4	380	800	300	-0.1	10341333
4	380	800	350	-0.1	10988000
4	380	800	400	-0.1	10428667
4	380	800	450	-0.1	10140000
4	420	1400	1	-0.1	10904000
4	420	1400	10	-0.1	11346667
4	420	1400	100	-0.1	10870000
4	420	1400	200	-0.1	9916000
4	420	1400	244	-0.1	10219333
4	420	1400	270	-0.1	10219333
4	420	1400	300	-0.1	10232667
4	420	1400	350	-0.1	10879333
4	420	1400	400	-0.1	10320000
4	420	1400	450	-0.1	10030000
4	420	1200	1	-0.1	10904000
4	420	1200	10	-0.1	11208667
4	420	1200	100	-0.1	10870000
4	420	1200	200	-0.1	9916000
4	420	1200	244	-0.1	10219333
4	420	1200	270	-0.1	10219333
4	420	1200	300	-0.1	10232667
4	420	1200	350	-0.1	10879333
4	420	1200	400	-0.1	10320000
4	420	1200	450	-0.1	10030000
4	420	1000	1	-0.1	10803333
4	420	1000	10	-0.1	11143333
4	420	1000	100	-0.1	10870000
4	420	1000	200	-0.1	9916000
4	420	1000	244	-0.1	10219333
4	420	1000	270	-0.1	10219333
4	420	1000	300	-0.1	10232667
4	420	1000	350	-0.1	10879333
4	420	1000	400	-0.1	10320000
4	420	1000	450	-0.1	10030000
4	460	1400	1	-0.1	10904000
4	460	1400	10	-0.1	11442667
4	460	1400	100	-0.1	10870000
4	460	1400	200	-0.1	9916000
4	460	1400	244	-0.1	10219333
4	460	1400	270	-0.1	10219333
4	460	1400	300	-0.1	10232667
4	460	1400	350	-0.1	10879333
4	460	1400	400	-0.1	10320000
4	460	1400	450	-0.1	10030000
4	460	1200	1	-0.1	10904000
4	460	1200	10	-0.1	11351333
4	460	1200	100	-0.1	10870000
4	460	1200	200	-0.1	9916000
4	460	1200	244	-0.1	10219333
4	460	1200	270	-0.1	10219333
4	460	1200	300	-0.1	10232667
4	460	1200	350	-0.1	10879333
4	460	1200	400	-0.1	10320000
4	460	1200	450	-0.1	10030000
4	460	1000	1	-0.1	10803333
4	460	1000	10	-0.1	11286000
4	460	1000	100	-0.1	10870000
4	460	1000	200	-0.1	9916000
4	460	1000	244	-0.1	10219333
4	460	1000	270	-0.1	10219333
4	460	1000	300	-0.1	10232667
4	460	1000	350	-0.1	10879333
4	460	1000	400	-0.1	10320000
4	460	1000	450	-0.1	10030000
4	500	1400	1	-0.1	10904000
4	500	1400	10	-0.1	11442667
4	500	1400	100	-0.1	10870000
4	500	1400	200	-0.1	9974000
4	500	1400	244	-0.1	10280000
4	500	1400	270	-0.1	10280000
4	500	1400	300	-0.1	10232667
4	500	1400	350	-0.1	10879333
4	500	1400	400	-0.1	10320000
4	500	1400	450	-0.1	10030000
4	500	1200	1	-0.1	10904000
4	500	1200	10	-0.1	11493333
4	500	1200	100	-0.1	10870000
4	500	1200	200	-0.1	9974000
4	500	1200	244	-0.1	10280000
4	500	1200	270	-0.1	10280000
4	500	1200	300	-0.1	10232667
4	500	1200	350	-0.1	10879333
4	500	1200	400	-0.1	10320000
4	500	1200	450	-0.1	10030000
4	500	1000	1	-0.1	10803333
4	500	1000	10	-0.1	11428000
4	500	1000	100	-0.1	10870000
4	500	1000	200	-0.1	9974000
4	500	1000	244	-0.1	10280000
4	500	1000	270	-0.1	10280000
4	500	1000	300	-0.1	10232667
4	500	1000	350	-0.1	10879333
4	500	1000	400	-0.1	10320000
4	500	1000	450	-0.1	10030000
5	300	1400	1	-0.1	11028000
5	300	1400	10	-0.1	11924000
5	300	1400	100	-0.1	11355333
5	300	1400	200	-0.1	11564000
5	300	1400	244	-0.1	11605333
5	300	1400	270	-0.1	11122000
5	300	1400	300	-0.1	10711333
5	300	1400	350	-0.1	11227333
5	300	1400	400	-0.1	11058000
5	300	1400	450	-0.1	11281333
5	300	1200	1	-0.1	11028000
5	300	1200	10	-0.1	11824000
5	300	1200	100	-0.1	11338000
5	300	1200	200	-0.1	11564000
5	300	1200	244	-0.1	11605333
5	300	1200	270	-0.1	11122000
5	300	1200	300	-0.1	10711333
5	300	1200	350	-0.1	11227333
5	300	1200	400	-0.1	11058000
5	300	1200	450	-0.1	11281333
5	300	1000	1	-0.1	10954667
5	300	1000	10	-0.1	11700667
5	300	1000	100	-0.1	11226000
5	300	1000	200	-0.1	11564000
5	300	1000	244	-0.1	11605333
5	300	1000	270	-0.1	11122000
5	300	1000	300	-0.1	10711333
5	300	1000	350	-0.1	11227333
5	300	1000	400	-0.1	11058000
5	300	1000	450	-0.1	11281333
5	300	800	1	-0.1	10864667
5	300	800	10	-0.1	11574667
5	300	800	100	-0.1	11156000
5	300	800	200	-0.1	11564000
5	300	800	244	-0.1	11605333
