fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220531 165947	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	103	TRUE	999983	0.0547892366222942	0.46629005750261	5500	46	0.0162308857281857	13754000	44
20220531 165956	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	28	TRUE	999983	0.21034161468972	0.20023973456207	6722	395	0.016038042891503	12863000	45
20220531 170025	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	208	TRUE	999983	0.04865897756595	0.263836920515881	2262	16	0.0164565649486364	13356000	46
20220531 170047	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	135	TRUE	999983	0.0654159485933783	0.218645708813213	3831	811	0.0165747923002317	13522000	47
20220531 170056	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	30	TRUE	999983	0.19884899889873	0.995108750986207	4931	16	0.0146639013401159	12863000	48
20220531 170105	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	17	TRUE	999983	0.198851975962769	0.201551064269756	4235	16	0.00837806647777315	11105000	49
20220531 170116	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	89	TRUE	999983	0.190268446293028	0.930296582348594	7667	999	0.0175195498512808	12870000	50
20220531 170133	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	100	TRUE	999983	0.0863533994837504	0.200709197115866	5462	26	0.0189645934979799	13227000	51
20220531 170142	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	22	TRUE	999983	0.198795700964407	0.631856402586538	7982	16	0.0200318388124657	12820000	52
20220531 170151	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	22	TRUE	999983	0.250275427234795	0.246622930473257	6576	1024	0.0193449212118882	12735000	53
20220531 170212	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	78	TRUE	999983	0.0697521667816291	0.515420717907628	5791	481	0.0168084102389351	13896000	54
20220531 170228	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	107	TRUE	999983	0.0820913316273766	0.996133754201249	5633	709	0.0166869500620033	12981000	55
20220531 170355	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	423	TRUE	999983	0.0100054254151835	0.52218711403366	986	19	0.0164840547561532	13317000	56
