fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	max_bin	num_iterations	force_row_wise	is_unbalance	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	lambda_l1	lambda_l2	min_gain_to_split	ganancia	iteracion
20220601 163906	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	583	TRUE	TRUE	0.242297363655502	0.988441157451985	4428	644	0.0369993184247247	49.7070367487571	2.42782791661418	154.976227539298	5417000	50
20220601 163932	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	252	TRUE	TRUE	0.225781972855188	0.913826491860063	2842	722	0.0433834314638811	4.95703111540632	51.2235677321453	2.65397885307928	7868000	51
20220601 163950	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	114	TRUE	TRUE	0.141025863336921	0.944310313193459	40	366	0.02407440749414	96.3622369584735	17.3220687546717	0.042414525222684	7426000	52
20220601 164015	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	288	TRUE	TRUE	0.193990935822468	0.990860422748785	377	70	0.00856309812572749	87.9439772574094	26.0914034434426	0.0861720938516515	6770000	53
20220601 164045	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	258	TRUE	TRUE	0.246661996643841	0.763267772166438	2122	227	0.0155891655756981	99.8912378368367	16.8430191981392	0.470344669061209	6066000	54
20220601 164057	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	24	TRUE	TRUE	0.259524445145249	0.727329683739914	10	225	0.0498149231254989	44.3608003882958	11.1739986198321	14.577596619503	8435000	55
20220601 164106	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	79	TRUE	TRUE	0.231068788272386	0.969769498244168	8	411	0.048880979765674	64.571946337873	33.6505021658555	51.2711794265173	4581000	56
20220601 164202	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	793	TRUE	TRUE	0.255440251357911	0.713877983564746	5797	22	0.049596545089042	12.4697571997254	2.61155729645282	3.64386116881252	5449000	57
20220601 164216	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	26	TRUE	TRUE	0.280012071778237	0.464942122704232	129	404	0.0348145938979803	18.560606488991	15.7873149257875	3.54624407318383	5562000	58
20220601 164235	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	142	TRUE	TRUE	0.260678424998302	0.335269536447553	1475	272	0.0498501830804252	32.168119775286	9.17037123179211	380.984465967558	4313000	59
