fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220531 205553	0	0	0	1	auto	depthwise	256	0	1	0.0100143913333648	0.201267366555437	8	18	0.0132422074274043	421	13303000	24
20220531 211446	0	0	0	1	auto	depthwise	256	0	1	0.0100000617292256	0.241054480326555	9	18	0.0153235130309202	349	13364000	25
20220531 212729	0	0	0	1	auto	depthwise	256	0	1	0.0106567863957935	0.211948385252642	6	25	0.00834792370512906	38	12239000	26
20220531 215230	0	0	0	1	auto	depthwise	256	0	1	0.01004111779988	0.389275423216883	8	12	0.0171340840966864	366	13110000	27
20220531 220326	0	0	0	1	auto	depthwise	256	0	1	0.0100689525819782	0.200694177132251	9	30	0.00940613475714415	51	12276000	28
20220601 001413	0	0	0	1	auto	depthwise	256	0	1	0.0100311265917721	0.826177191813647	9	19	0.0164143477635569	259	13080000	29
20220601 003643	0	0	0	1	auto	depthwise	256	0	1	0.0100000903977448	0.458780293196942	10	11	0.0172322261826815	255	13155000	30
20220601 004628	0	0	0	1	auto	depthwise	256	0	1	0.0100737204512383	0.37350869961938	9	2	0.0144398110842759	885	13253000	31
20220601 004931	0	0	0	1	auto	depthwise	256	0	1	0.0322420906753417	0.200014685937285	7	2	0.0119676204224563	431	13081000	32
20220601 012235	0	0	0	1	auto	depthwise	256	0	1	0.0100649010174941	0.413463605509298	9	16	0.0192539809739786	516	12808000	33
20220601 012719	0	0	0	1	auto	depthwise	256	0	1	0.0245794581468447	0.200414838264167	10	6	0.0131224839585537	186	13170000	34
20220601 020640	0	0	0	1	auto	depthwise	256	0	1	0.0100099040414025	0.579356286743991	9	30	0.0156677216676492	276	13121000	35
20220601 021427	0	0	0	1	auto	depthwise	256	0	1	0.0212893357695377	0.200263969694952	8	8	0.0139126834953721	318	13073000	36
20220601 031121	0	0	0	1	auto	depthwise	256	0	1	0.0141726992218546	0.200006646770035	8	25	0.0165700632582284	233	12978000	37
20220601 031850	0	0	0	1	auto	depthwise	256	0	1	0.0203189298845238	0.216672825465957	8	8	0.0132463636475225	229	13224000	38
20220601 034814	0	0	0	1	auto	depthwise	256	0	1	0.0100098938327118	0.478925993715396	10	23	0.0140945674438979	225	13772000	39
20220601 035710	0	0	0	1	auto	depthwise	256	0	1	0.0104043634871268	0.205807604193423	6	2	0.0285871091049406	1271	12079000	40
20220601 045151	0	0	0	1	auto	depthwise	256	0	1	0.0103959878434985	0.988133481327092	10	25	0.0125989148792561	212	13271000	41
20220601 052822	0	0	0	1	auto	depthwise	256	0	1	0.0100443465377426	0.630486360812973	10	24	0.0130847638092718	210	13494000	42
20220601 062430	0	0	0	1	auto	depthwise	256	0	1	0.0100951890708108	0.997664423387078	7	22	0.0113824442157173	140	13152000	43
20220601 064831	0	0	0	1	auto	depthwise	256	0	1	0.0100772705175569	0.358577202091622	10	25	0.0142861286897015	264	13584000	44
20220601 065432	0	0	0	1	auto	depthwise	256	0	1	0.29920797716716	0.98698235193094	5	22	0.00836306787354136	6	9382000	45
20220601 070734	0	0	0	1	auto	depthwise	256	0	1	0.0243090485106915	0.486550009150384	8	22	0.0125411130541026	63	13261000	46
20220601 071853	0	0	0	1	auto	depthwise	256	0	1	0.0111094978571999	0.200073328419128	5	4	0.0143943483008642	896	13531000	47
20220601 072704	0	0	0	1	auto	depthwise	256	0	1	0.011101935899339	0.201396547271315	6	2	0.017261946677317	1173	13120000	48
20220601 074734	0	0	0	1	auto	depthwise	256	0	1	0.0101241600060711	0.200600004834927	5	14	0.0124812090813601	521	13026000	49
20220601 081403	0	0	0	1	auto	depthwise	256	0	1	0.0102110994643628	0.999607910651142	7	3	0.0143033546477533	804	13257000	50
20220601 092541	0	0	0	1	auto	depthwise	256	0	1	0.0100211381555783	0.99974791463895	8	30	0.0299826730054635	297	10092000	51
20220601 092755	0	0	0	1	auto	depthwise	256	0	1	0.0444020180178627	0.200074886392852	4	2	0.0152843794814638	265	12679000	52
20220601 095652	0	0	0	1	auto	depthwise	256	0	1	0.0102252825349068	0.497493713039171	10	23	0.0150044400390473	208	13543000	53
20220601 104929	0	0	0	1	auto	depthwise	256	0	1	0.0106017238653133	0.998370586894902	9	21	0.0137554007508081	168	13043000	54
20220601 111314	0	0	0	1	auto	depthwise	256	0	1	0.0101329711026105	0.984834030302599	5	2	0.0139330754017892	1154	13252000	55
20220601 112759	0	0	0	1	auto	depthwise	256	0	1	0.0100044487605739	0.452822100596263	6	2	0.0136058596735145	1264	13130000	56
20220601 115531	0	0	0	1	auto	depthwise	256	0	1	0.010326816331525	0.446574640427103	10	21	0.0134477490864258	254	13465000	57
20220601 124432	0	0	0	1	auto	depthwise	256	0	1	0.0102571753164379	0.997803034207274	7	2	0.025626227155141	3050	12444000	58
20220601 132650	0	0	0	1	auto	depthwise	256	0	1	0.0105250655280684	0.815106989973301	10	27	0.0140974443704482	164	13224000	59
20220601 132750	0	0	0	1	auto	depthwise	256	0	1	0.299079524188766	0.224558236799512	7	2	0.0271504553753639	92	11825000	60
20220601 134802	0	0	0	1	auto	depthwise	256	0	1	0.010600611142417	0.986096560784052	10	2	0.0178011935839792	978	12800000	61
20220601 143038	0	0	0	1	auto	depthwise	256	0	1	0.0111853214171934	0.99890336248152	10	20	0.00835457562731931	106	11983000	62
20220601 143550	0	0	0	1	auto	depthwise	256	0	1	0.150129014111614	0.91190566806919	7	2	0.0320704955363763	312	11001000	63
20220601 150926	0	0	0	1	auto	depthwise	256	0	1	0.0102991130287108	0.499291819004719	7	24	0.0141879362863868	208	13219000	64
20220601 154539	0	0	0	1	auto	depthwise	256	0	1	0.010852837969088	0.988081746848505	6	6	0.0170805137085481	468	12827000	65
20220601 160523	0	0	0	1	auto	depthwise	256	0	1	0.0100197234392352	0.999773293320132	6	3	0.0112927750466171	435	12905000	66
20220601 163256	0	0	0	1	auto	depthwise	256	0	1	0.0101423998088331	0.427205221907777	9	24	0.0140290361947742	216	13626000	67
20220601 163349	0	0	0	1	auto	depthwise	256	0	1	0.28966305691407	0.200464259718373	10	2	0.0141840847019422	77	13128000	68
20220601 164243	0	0	0	1	auto	depthwise	256	0	1	0.0252977296713912	0.20104231260474	10	13	0.0143008502388533	295	13376000	69
20220601 164329	0	0	0	1	auto	depthwise	256	0	1	0.299664008089394	0.200167173524381	10	2	0.0103041369336019	72	12317000	70
20220601 164438	0	0	0	1	auto	depthwise	256	0	1	0.151691490099407	0.225816888532233	10	2	0.016643444869515	106	13208000	71
20220601 171150	0	0	0	1	auto	depthwise	256	0	1	0.0102594128906908	0.61119765950124	8	2	0.0176556997613811	2371	12939000	72
20220601 172856	0	0	0	1	auto	depthwise	256	0	1	0.0103602185045109	0.20027630271056	9	26	0.0258189185004303	340	12125000	73
20220601 175829	0	0	0	1	auto	depthwise	256	0	1	0.010067791417914	0.51366651683402	10	26	0.0116607080308426	173	13244000	74
20220601 180110	0	0	0	1	auto	depthwise	256	0	1	0.137002501488194	0.998958592464092	10	2	0.0121878178594432	97	12775000	75
20220601 183351	0	0	0	1	auto	depthwise	256	0	1	0.0100892544613213	0.494432910900596	10	25	0.0174113584543675	280	13297000	76
20220601 190454	0	0	0	1	auto	depthwise	256	0	1	0.0100590420130215	0.792982216618129	10	9	0.01412863277746	236	13368000	77
20220601 190620	0	0	0	1	auto	depthwise	256	0	1	0.100238888683772	0.200480444780809	5	2	0.0247482255405357	154	12090000	78
20220601 190734	0	0	0	1	auto	depthwise	256	0	1	0.262244405576173	0.200200720989606	10	2	0.0230403405455006	169	12059000	79
20220601 191017	0	0	0	1	auto	depthwise	256	0	1	0.0774265253075201	0.53026855194394	10	5	0.0142095236147836	31	13028000	80
